PDS4 LID	PDS <Target_Identification> name	Other/provisional names	PDS <type> attribute	COMA objecttype
coma.73p--bs	73P/1930 J1-BS (Schwassmann-Wachmann 3-BS)		Comet	
coma.73p--bt	73P/1930 J1-BT (Schwassmann-Wachmann 3-BT)		Comet	
coma.74p	74P/1975 E2 (Smirnova-Chernykh 1)	1992 XXI, 1984 V, 1975 VII, 1975e, 74P/1967 EU, 1967 XV	Comet	
coma.75d	75D/1975 C1 (Kohoutek 1)	75P/Kohoutek, 1987 XXVII, 1986k, 75D/1980 P1, 1981 IX, 1980j, 1975 III, 1975c	Comet	
coma.76p	76P/1975 D1 (West-Kohoutek-Ikemura 1)	1993 XXI, 1993o, 1987 XV, 1987x, 76P/1980 V2, 1981 VIII, 1980r, 1975 IV, 1975b	Comet	
coma.77p	77P/1975 L1 (Longmore 1)	1994q, 1988 XVIII, 1987c1, 77P/1981 A1, 1981 XVI, 1981a, 1974 XIV, 1975g	Comet	
coma.78p	78P/1973 S1 (Gehrels 2)	1989 XVII, 1989n, 78P/1981 L1, 1981 XVII, 1981f, 1973 XI, 1973n	Comet	
coma.79p	79P/1945 G1 (du Toit-Hartley 1)	1987 IX, 1986q, 1982 II, 79P/1982 C1-A, 1982b, 1945 II, 1945c	Comet	
coma.79p--a	79P/1945 G1-A (du Toit-Hartley 1-A)		Comet	
coma.79p--b	79P/1945 G1-B (du Toit-Hartley 1-B)		Comet	
coma.80p	80P/1982 N1 (Peters-Hartley 1)	1990 IX, 1990d, 1982 III, 1982h, 80P/1846 M1, 1846 VI	Comet	
coma.81p	81P/1978 A2 (Wild 2)	1990 XXVIII, 1989t, 81P/1983 S1, 1984 XIV, 1983s, 1978 XI, 1978b	Comet	
coma.82p	82P/1975 U1 (Gehrels 3)	1993 XIV, 1992v, 82P/1984 P1, 1985 IV 1984l, 1977 VII, 1975o	Comet	
coma.83d	83D/1979 M2 (Russell 1)	83D/1985 G1, 1985 IX, 1985b, 1979 V, 1979d	Comet	
coma.84p	84P/1978 R2 (Giclas 1)	1992 XXV, 1992l, 84P/1985 M1, 1985 XV, 1985g, 1978 XXII, 1978k	Comet	
coma.85d	85D/1975 A1 (Boethin 1)	85P/Boethin, 85P/1985 T2, 1986 I, 1985n, 85P/1975 A1, 1975 I, 1975a	Comet	
coma.86p	86P/1980 G1 (Wild 3)	1994 XXI, 1994b, 86P/1987 B3, 1987 XX, 1987e, 1980 VII, 1980d	Comet	
coma.87p	87P/1981 E1 (Bus 1)	1994 XVI, 1993b, 87P/1987 B4, 1987 XXXIV, 1987f, 1981 XI, 1981b	Comet	
coma.88p	88P/1981 Q1 (Howell 1)	1993 II, 1992c, 88P/1987 E1, 1987 VI, 1987h, 1981 X, 1981k	Comet	
